Year,FTAs in India (in million),%- change over previous year,NRIs arrivals in India (in million),%- change over the previous year,ITAs in India  (in million),%- change over the previous year
1981,1.28,2,NA,NA,NA,NA
1991,1.68,-1.7,NA,NA,NA,NA
2001,2.54,-4.2,NA,NA,NA,NA
2002,2.38,-6,NA,NA,NA,NA
2003,2.73,14.3,NA,NA,NA,NA
2004,3.46,26.8,NA,NA,NA,NA
2005,3.92,13.3,NA,NA,NA,NA
2006,4.45,13.5,NA,NA,NA,NA
2007,5.08,14.3,NA,NA,NA,NA
2008,5.28,4,NA,NA,NA,NA
2009,5.17,-2.2,NA,NA,NA,NA
2010,5.78,11.8,NA,NA,NA,NA
2011,6.31,9.2,NA,NA,NA,NA
2012,6.58,4.3,NA,NA,NA,NA
2013,6.97,5.9,NA,NA,NA,NA
2014,7.68,10.2,5.43,NA,13.11,NA
2015,8.03,4.5,5.74,5.7,13.76,5
2016,8.8,9.7,6.22,8.5,15.03,9.2
2017,10.04,14,6.77,8.8,16.81,11.8
2018,10.56,5.2,6.87,1.4,17.42,3.7
2019,10.93,3.5,6.98,1.7,17.91,2.8
2020,2.74,-74.9,3.59,-48.6,6.33,-64.7
