Year,FTAs,% distribution by Age-Group (in Year) - 0-14,% distribution by Age-Group (in Year) - 15-24,% distribution by Age-Group (in Year) - 25-34,% distribution by Age-Group (in Year) - 35-44,% distribution by Age-Group (in Year) - 45-54,% distribution by Age-Group (in Year) - 55-64,% distribution by Age-Group (in Year) - 65 and above,% distribution by Age-Group (in Year) - Not Reported
2001,2537282,7,10.8,20.1,21.1,19.4,11.9,6.7,3
2002,2384364,9.2,10,19.4,21.6,19.4,11.5,7.7,1.2
2003,2726214,7.2,10,19.5,21.6,19.4,11.5,7.7,3.1
2004,3457477,8.5,9.8,18.8,21.3,19.4,12.8,8.2,0.2
2005,3918610,8.6,9.6,18.8,21.3,19.5,13,8.7,0.5
2006,4447167,9.6,8.7,18.3,21.4,19.6,13.5,7,1.9
2007,5081504,9.2,8.6,18,21,19.6,13.9,7.5,2.2
2008,5282603,7.5,7.1,15.2,17.1,16.1,11.9,6.5,18.6
2009,5167699,9.1,7.9,17.9,20.3,19.6,14.7,8.5,2
2010,5775692,10,8.3,17.4,21.1,19.9,13.8,9.5,0
2011,6309222,10.5,7.9,16.6,21.2,19.7,13.7,10.5,0
2012,6577745,11,8,16.5,21,19.8,13.9,9.9,0
2013,6967601,9.5,8.7,19.1,21,20,14,7.7,0
2014,7679099,9.2,8.5,18.9,21,20.1,14,8.3,0
2015,8027133,9.4,8.5,19.2,21.2,20,13.8,7.9,0
2016,8804411,9.5,8.5,19.2,21.1,19.9,13.8,8.1,0
2017,10035803,9.4,8.5,19.1,21.1,19.9,13.8,8.2,0
2018,10557976,9.3,8.4,18.6,21,19.8,14.2,8.7,0
2019,10930355,9.2,8.3,18.6,21.3,19.8,14.1,8.8,0
