Region,Country of Nationality,Arrivals (in numbers),Business and Professional(%),Leisure Holiday and Recreation(%),Medical(%),Indian Diaspora(%),Others(%)
North America,CANADA,351859,4.82,50.94,0.14,21.49,22.61
North America,UNITED STATES,1512032,11.24,38.56,0.08,29.48,20.64
North America,OTHERS,1,0,100,0,0,0
North America,Total,1863892,10.03,40.9,0.09,27.97,21.01
Central & South America,ARGENTINA,12844,14.69,78.6,0.08,1.25,5.38
Central & South America,BRAZIL,25422,29.16,58.01,0.06,1.8,10.96
Central & South America,MEXICO,20766,18.23,72.18,0.06,1.67,7.86
Central & South America,OTHERS,39894,17.38,59.64,0.32,5.96,16.7
Central & South America,Total,98926,20.24,64.31,0.17,3.38,11.9
Western Europe,AUSTRIA,32332,22.65,47.92,0.09,16.83,12.51
Western Europe,BELGIUM,39263,24.23,45.56,0.13,10.76,19.32
Western Europe,DENMARK,26492,37.05,51.21,0.11,6.28,5.34
Western Europe,FINLAND,18945,31.88,42.52,0.13,6.22,19.25
Western Europe,FRANCE,247238,20.99,58.12,0.11,7.58,13.2
Western Europe,GERMANY,264973,27.01,47.87,0.07,8.65,16.4
Western Europe,GREECE,10317,21.08,48.82,0.05,5.41,24.64
Western Europe,IRELAND,41183,19.55,35.01,0.08,31.7,13.66
Western Europe,ITALY,128572,23.81,53.63,0.08,13.74,8.73
Western Europe,NETHERLANDS,80313,29.56,40.45,0.14,9.34,20.51
Western Europe,NORWAY,21898,17.2,51.06,0.39,22.62,8.73
Western Europe,PORTUGAL,74743,4.5,23.79,0.03,35.19,36.49
Western Europe,SPAIN,83322,18.58,68.98,0.02,4.65,7.76
Western Europe,SWEDEN,42318,29.06,49.92,0.17,10.98,9.86
Western Europe,SWITZERLAND,46826,17.51,56.33,0.16,9.16,16.83
Western Europe,UNITED KINGDOM,1000292,10.79,40.53,0.1,30.26,18.31
Western Europe,OTHERS,19414,20.51,48.15,0.12,4.53,26.69
Western Europe,Total,2178441,17.25,45.68,0.1,20.23,16.74
Eastern Europe,CZECH REPUBLIC,13290,31.82,59.87,0.05,1.82,6.44
Eastern Europe,HUNGARY,9788,24.74,63.25,0.11,2.62,9.28
Eastern Europe,KAZAKHISTAN,15709,6.69,78.39,2.53,3.36,9.02
